m,TagName,
"2009-09-01 00:00:00","javascript","1521"
"2009-09-01 00:00:00","perl","228"
"2009-09-01 00:00:00","php","1967"
"2009-09-01 00:00:00","python","1041"
"2009-09-01 00:00:00","r","123"
"2009-09-01 00:00:00","ruby","444"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","62"
"2009-10-01 00:00:00","c","698"
"2009-10-01 00:00:00","c#","4437"
"2009-10-01 00:00:00","c++","1580"
"2009-10-01 00:00:00","delphi","245"
"2009-10-01 00:00:00","java","2341"
"2009-10-01 00:00:00","javascript","1905"
"2009-10-01 00:00:00","perl","271"
"2009-10-01 00:00:00","php","2175"
"2009-10-01 00:00:00","python","1349"
"2009-10-01 00:00:00","r","68"
"2009-10-01 00:00:00","ruby","458"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","79"
"2009-11-01 00:00:00","c","909"
"2009-11-01 00:00:00","c#","4506"
"2009-11-01 00:00:00","c++","1675"
"2009-11-01 00:00:00","delphi","266"
"2009-11-01 00:00:00","go","60"
"2009-11-01 00:00:00","java","2670"
"2009-11-01 00:00:00","javascript","2137"
"2009-11-01 00:00:00","perl","320"
"2009-11-01 00:00:00","php","2527"
"2009-11-01 00:00:00","python","1513"
"2009-11-01 00:00:00","r","91"
"2009-11-01 00:00:00","ruby","640"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","60"
"2009-12-01 00:00:00","c","810"
"2009-12-01 00:00:00","c#","4335"
"2009-12-01 00:00:00","c++","1593"
"2009-12-01 00:00:00","delphi","277"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2590"
"2009-12-01 00:00:00","javascript","2248"
"2009-12-01 00:00:00","perl","260"
"2009-12-01 00:00:00","php","2721"
"2009-12-01 00:00:00","python","1543"
"2009-12-01 00:00:00","r","79"
"2009-12-01 00:00:00","ruby","559"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","92"
"2010-01-01 00:00:00","c","954"
"2010-01-01 00:00:00","c#","4955"
"2010-01-01 00:00:00","c++","1918"
"2010-01-01 00:00:00","delphi","294"
"2010-01-01 00:00:00","go","14"
"2010-01-01 00:00:00","java","3619"
"2010-01-01 00:00:00","javascript","2565"
"2010-01-01 00:00:00","perl","299"
"2010-01-01 00:00:00","php","3318"
"2010-01-01 00:00:00","python","1882"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","673"
"2010-02-01 00:00:00","assembly","66"
"2010-02-01 00:00:00","c","995"
"2010-02-01 00:00:00","c#","4957"
"2010-02-01 00:00:00","c++","2207"
"2010-02-01 00:00:00","delphi","279"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3461"
"2010-02-01 00:00:00","javascript","2564"
"2010-02-01 00:00:00","perl","342"
"2010-02-01 00:00:00","php","3006"
"2010-02-01 00:00:00","python","1822"
"2010-02-01 00:00:00","r","121"
"2010-02-01 00:00:00","ruby","675"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","121"
"2010-03-01 00:00:00","c","1089"
"2010-03-01 00:00:00","c#","5894"
"2010-03-01 00:00:00","c++","2363"
"2010-03-01 00:00:00","delphi","308"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4354"
"2010-03-01 00:00:00","javascript","2929"
"2010-03-01 00:00:00","perl","382"
"2010-03-01 00:00:00","php","3627"
"2010-03-01 00:00:00","python","2017"
"2010-03-01 00:00:00","r","137"
"2010-03-01 00:00:00","ruby","678"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1167"
"2010-04-01 00:00:00","c#","5662"
"2010-04-01 00:00:00","c++","2431"
"2010-04-01 00:00:00","delphi","269"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3799"
"2010-04-01 00:00:00","javascript","2962"
"2010-04-01 00:00:00","perl","359"
"2010-04-01 00:00:00","php","3552"
"2010-04-01 00:00:00","python","1741"
"2010-04-01 00:00:00","r","158"
"2010-04-01 00:00:00","ruby","742"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","107"
"2010-05-01 00:00:00","c","1139"
"2010-05-01 00:00:00","c#","5796"
"2010-05-01 00:00:00","c++","2357"
"2010-05-01 00:00:00","delphi","279"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4049"
"2010-05-01 00:00:00","javascript","3169"
"2010-05-01 00:00:00","perl","280"
"2010-05-01 00:00:00","php","3867"
"2010-05-01 00:00:00","python","1980"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","768"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","89"
"2010-06-01 00:00:00","c","1125"
"2010-06-01 00:00:00","c#","6045"
"2010-06-01 00:00:00","c++","2755"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4156"
"2010-06-01 00:00:00","javascript","3412"
"2010-06-01 00:00:00","perl","404"
"2010-06-01 00:00:00","php","3974"
"2010-06-01 00:00:00","python","2162"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","838"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","94"
"2010-07-01 00:00:00","c","1213"
"2010-07-01 00:00:00","c#","6583"
"2010-07-01 00:00:00","c++","2556"
"2010-07-01 00:00:00","delphi","331"
"2010-07-01 00:00:00","go","7"
"2010-07-01 00:00:00","java","4412"
"2010-07-01 00:00:00","javascript","3820"
"2010-07-01 00:00:00","perl","423"
"2010-07-01 00:00:00","php","4492"
"2010-07-01 00:00:00","python","2534"
"2010-07-01 00:00:00","r","232"
"2010-07-01 00:00:00","ruby","897"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","85"
"2010-08-01 00:00:00","c","1329"
"2010-08-01 00:00:00","c#","6843"
"2010-08-01 00:00:00","c++","2529"
"2010-08-01 00:00:00","delphi","349"
"2010-08-01 00:00:00","go","12"
"2010-08-01 00:00:00","java","4603"
"2010-08-01 00:00:00","javascript","3910"
"2010-08-01 00:00:00","perl","543"
"2010-08-01 00:00:00","php","5020"
"2010-08-01 00:00:00","python","2458"
"2010-08-01 00:00:00","r","281"
"2010-08-01 00:00:00","ruby","985"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","116"
"2010-09-01 00:00:00","c","1298"
"2010-09-01 00:00:00","c#","6313"
"2010-09-01 00:00:00","c++","2671"
"2010-09-01 00:00:00","delphi","318"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4611"
"2010-09-01 00:00:00","javascript","3940"
"2010-09-01 00:00:00","perl","456"
"2010-09-01 00:00:00","php","4593"
"2010-09-01 00:00:00","python","2204"
"2010-09-01 00:00:00","r","231"
"2010-09-01 00:00:00","ruby","929"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","120"
"2010-10-01 00:00:00","c","1361"
"2010-10-01 00:00:00","c#","6600"
"2010-10-01 00:00:00","c++","2841"
"2010-10-01 00:00:00","delphi","360"
"2010-10-01 00:00:00","go","11"
"2010-10-01 00:00:00","java","4924"
"2010-10-01 00:00:00","javascript","4007"
"2010-10-01 00:00:00","perl","496"
"2010-10-01 00:00:00","php","4372"
"2010-10-01 00:00:00","python","2612"
"2010-10-01 00:00:00","r","213"
"2010-10-01 00:00:00","ruby","921"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","159"
"2010-11-01 00:00:00","c","1615"
"2010-11-01 00:00:00","c#","7144"
"2010-11-01 00:00:00","c++","3225"
"2010-11-01 00:00:00","delphi","387"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5446"
"2010-11-01 00:00:00","javascript","4439"
"2010-11-01 00:00:00","perl","459"
"2010-11-01 00:00:00","php","4939"
"2010-11-01 00:00:00","python","2535"
"2010-11-01 00:00:00","r","239"
"2010-11-01 00:00:00","ruby","918"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","121"
"2010-12-01 00:00:00","c","1419"
"2010-12-01 00:00:00","c#","6942"
"2010-12-01 00:00:00","c++","3029"
"2010-12-01 00:00:00","delphi","318"
"2010-12-01 00:00:00","go","16"
"2010-12-01 00:00:00","java","5570"
"2010-12-01 00:00:00","javascript","4863"
"2010-12-01 00:00:00","perl","495"
"2010-12-01 00:00:00","php","5196"
"2010-12-01 00:00:00","python","2409"
"2010-12-01 00:00:00","r","222"
"2010-12-01 00:00:00","ruby","1015"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","118"
"2011-01-01 00:00:00","c","1393"
"2011-01-01 00:00:00","c#","7770"
"2011-01-01 00:00:00","c++","3368"
"2011-01-01 00:00:00","delphi","357"
"2011-01-01 00:00:00","go","12"
"2011-01-01 00:00:00","java","6400"
"2011-01-01 00:00:00","javascript","5331"
"2011-01-01 00:00:00","perl","470"
"2011-01-01 00:00:00","php","6245"
"2011-01-01 00:00:00","python","2812"
"2011-01-01 00:00:00","r","245"
"2011-01-01 00:00:00","ruby","1182"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","135"
"2011-02-01 00:00:00","c","1592"
"2011-02-01 00:00:00","c#","7999"
"2011-02-01 00:00:00","c++","3346"
"2011-02-01 00:00:00","delphi","351"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6680"
"2011-02-01 00:00:00","javascript","5527"
"2011-02-01 00:00:00","perl","479"
"2011-02-01 00:00:00","php","6538"
"2011-02-01 00:00:00","python","2960"
"2011-02-01 00:00:00","r","318"
"2011-02-01 00:00:00","ruby","1232"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","189"
"2011-03-01 00:00:00","c","2054"
"2011-03-01 00:00:00","c#","9748"
"2011-03-01 00:00:00","c++","4078"
"2011-03-01 00:00:00","delphi","507"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8248"
"2011-03-01 00:00:00","javascript","6649"
"2011-03-01 00:00:00","perl","599"
"2011-03-01 00:00:00","php","7911"
"2011-03-01 00:00:00","python","3664"
"2011-03-01 00:00:00","r","416"
"2011-03-01 00:00:00","ruby","1620"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","154"
"2011-04-01 00:00:00","c","1976"
"2011-04-01 00:00:00","c#","9086"
"2011-04-01 00:00:00","c++","4087"
"2011-04-01 00:00:00","delphi","391"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7733"
"2011-04-01 00:00:00","javascript","6774"
"2011-04-01 00:00:00","perl","544"
"2011-04-01 00:00:00","php","7459"
"2011-04-01 00:00:00","python","3263"
"2011-04-01 00:00:00","r","473"
"2011-04-01 00:00:00","ruby","1461"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","155"
"2011-05-01 00:00:00","c","1792"
"2011-05-01 00:00:00","c#","9819"
"2011-05-01 00:00:00","c++","3786"
"2011-05-01 00:00:00","delphi","448"
"2011-05-01 00:00:00","go","35"
"2011-05-01 00:00:00","java","8402"
"2011-05-01 00:00:00","javascript","7181"
"2011-05-01 00:00:00","perl","578"
"2011-05-01 00:00:00","php","7874"
"2011-05-01 00:00:00","python","3446"
"2011-05-01 00:00:00","r","421"
"2011-05-01 00:00:00","ruby","1548"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","135"
"2011-06-01 00:00:00","c","1721"
"2011-06-01 00:00:00","c#","9560"
"2011-06-01 00:00:00","c++","3706"
"2011-06-01 00:00:00","delphi","432"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7772"
"2011-06-01 00:00:00","javascript","7545"
"2011-06-01 00:00:00","perl","562"
"2011-06-01 00:00:00","php","7860"
"2011-06-01 00:00:00","python","3401"
"2011-06-01 00:00:00","r","440"
"2011-06-01 00:00:00","ruby","1532"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","136"
"2011-07-01 00:00:00","c","1617"
"2011-07-01 00:00:00","c#","9363"
"2011-07-01 00:00:00","c++","3757"
"2011-07-01 00:00:00","delphi","421"
"2011-07-01 00:00:00","go","25"
"2011-07-01 00:00:00","java","7973"
"2011-07-01 00:00:00","javascript","7938"
"2011-07-01 00:00:00","perl","652"
"2011-07-01 00:00:00","php","8455"
"2011-07-01 00:00:00","python","3580"
"2011-07-01 00:00:00","r","450"
"2011-07-01 00:00:00","ruby","1568"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","151"
"2011-08-01 00:00:00","c","1774"
"2011-08-01 00:00:00","c#","9831"
"2011-08-01 00:00:00","c++","3878"
"2011-08-01 00:00:00","delphi","401"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8444"
"2011-08-01 00:00:00","javascript","8688"
"2011-08-01 00:00:00","perl","590"
"2011-08-01 00:00:00","php","8626"
"2011-08-01 00:00:00","python","3731"
"2011-08-01 00:00:00","r","584"
"2011-08-01 00:00:00","ruby","1830"
"2011-08-01 00:00:00","swift","7"
"2011-09-01 00:00:00","assembly","150"
"2011-09-01 00:00:00","c","1892"
"2011-09-01 00:00:00","c#","9082"
"2011-09-01 00:00:00","c++","3831"
"2011-09-01 00:00:00","delphi","407"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8113"
"2011-09-01 00:00:00","javascript","7991"
"2011-09-01 00:00:00","perl","495"
"2011-09-01 00:00:00","php","7827"
"2011-09-01 00:00:00","python","3434"
"2011-09-01 00:00:00","r","610"
"2011-09-01 00:00:00","ruby","1531"
"2011-09-01 00:00:00","swift","5"
"2011-10-01 00:00:00","assembly","200"
"2011-10-01 00:00:00","c","2074"
"2011-10-01 00:00:00","c#","8982"
"2011-10-01 00:00:00","c++","4139"
"2011-10-01 00:00:00","delphi","460"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8359"
"2011-10-01 00:00:00","javascript","7837"
"2011-10-01 00:00:00","perl","545"
"2011-10-01 00:00:00","php","7785"
"2011-10-01 00:00:00","python","3527"
"2011-10-01 00:00:00","r","609"
"2011-10-01 00:00:00","ruby","1585"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","198"
"2011-11-01 00:00:00","c","2149"
"2011-11-01 00:00:00","c#","9639"
"2011-11-01 00:00:00","c++","4323"
"2011-11-01 00:00:00","delphi","490"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9361"
"2011-11-01 00:00:00","javascript","8396"
"2011-11-01 00:00:00","perl","597"
"2011-11-01 00:00:00","php","8413"
"2011-11-01 00:00:00","python","3743"
"2011-11-01 00:00:00","r","602"
"2011-11-01 00:00:00","ruby","1700"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","217"
"2011-12-01 00:00:00","c","1959"
"2011-12-01 00:00:00","c#","9073"
"2011-12-01 00:00:00","c++","4240"
"2011-12-01 00:00:00","delphi","547"
"2011-12-01 00:00:00","go","48"
"2011-12-01 00:00:00","java","8927"
"2011-12-01 00:00:00","javascript","8073"
"2011-12-01 00:00:00","perl","533"
"2011-12-01 00:00:00","php","8003"
"2011-12-01 00:00:00","python","3490"
"2011-12-01 00:00:00","r","609"
"2011-12-01 00:00:00","ruby","1645"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","163"
"2012-01-01 00:00:00","c","2158"
"2012-01-01 00:00:00","c#","10130"
"2012-01-01 00:00:00","c++","4393"
"2012-01-01 00:00:00","delphi","495"
"2012-01-01 00:00:00","go","36"
"2012-01-01 00:00:00","java","9844"
"2012-01-01 00:00:00","javascript","9305"
"2012-01-01 00:00:00","perl","555"
"2012-01-01 00:00:00","php","8953"
"2012-01-01 00:00:00","python","4094"
"2012-01-01 00:00:00","r","687"
"2012-01-01 00:00:00","ruby","1862"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","218"
"2012-02-01 00:00:00","c","2338"
"2012-02-01 00:00:00","c#","10496"
"2012-02-01 00:00:00","c++","4948"
"2012-02-01 00:00:00","delphi","450"
"2012-02-01 00:00:00","go","29"
"2012-02-01 00:00:00","java","10627"
"2012-02-01 00:00:00","javascript","9680"
"2012-02-01 00:00:00","perl","609"
"2012-02-01 00:00:00","php","9564"
"2012-02-01 00:00:00","python","4396"
"2012-02-01 00:00:00","r","806"
"2012-02-01 00:00:00","ruby","2001"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","257"
"2012-03-01 00:00:00","c","2646"
"2012-03-01 00:00:00","c#","11252"
"2012-03-01 00:00:00","c++","5049"
"2012-03-01 00:00:00","delphi","473"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12007"
"2012-03-01 00:00:00","javascript","10389"
"2012-03-01 00:00:00","perl","596"
"2012-03-01 00:00:00","php","10434"
"2012-03-01 00:00:00","python","4917"
"2012-03-01 00:00:00","r","880"
"2012-03-01 00:00:00","ruby","2144"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","268"
"2012-04-01 00:00:00","c","2608"
"2012-04-01 00:00:00","c#","10739"
"2012-04-01 00:00:00","c++","5141"
"2012-04-01 00:00:00","delphi","466"
"2012-04-01 00:00:00","go","66"
"2012-04-01 00:00:00","java","11712"
"2012-04-01 00:00:00","javascript","10290"
"2012-04-01 00:00:00","perl","589"
"2012-04-01 00:00:00","php","9996"
"2012-04-01 00:00:00","python","4784"
"2012-04-01 00:00:00","r","819"
"2012-04-01 00:00:00","ruby","1912"
"2012-04-01 00:00:00","swift","4"
"2012-05-01 00:00:00","assembly","215"
"2012-05-01 00:00:00","c","2407"
"2012-05-01 00:00:00","c#","11201"
"2012-05-01 00:00:00","c++","4845"
"2012-05-01 00:00:00","delphi","457"
"2012-05-01 00:00:00","go","65"
"2012-05-01 00:00:00","java","11832"
"2012-05-01 00:00:00","javascript","11139"
"2012-05-01 00:00:00","perl","634"
"2012-05-01 00:00:00","php","10504"
"2012-05-01 00:00:00","python","4973"
"2012-05-01 00:00:00","r","863"
"2012-05-01 00:00:00","ruby","1926"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","192"
"2012-06-01 00:00:00","c","2253"
"2012-06-01 00:00:00","c#","11007"
"2012-06-01 00:00:00","c++","4511"
"2012-06-01 00:00:00","delphi","408"
"2012-06-01 00:00:00","go","68"
"2012-06-01 00:00:00","java","10785"
"2012-06-01 00:00:00","javascript","10935"
"2012-06-01 00:00:00","perl","733"
"2012-06-01 00:00:00","php","10154"
"2012-06-01 00:00:00","python","5178"
"2012-06-01 00:00:00","r","955"
"2012-06-01 00:00:00","ruby","1845"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","185"
"2012-07-01 00:00:00","c","2308"
"2012-07-01 00:00:00","c#","12031"
"2012-07-01 00:00:00","c++","5127"
"2012-07-01 00:00:00","delphi","418"
"2012-07-01 00:00:00","go","75"
"2012-07-01 00:00:00","java","11946"
"2012-07-01 00:00:00","javascript","11973"
"2012-07-01 00:00:00","perl","659"
"2012-07-01 00:00:00","php","11321"
"2012-07-01 00:00:00","python","5611"
"2012-07-01 00:00:00","r","1095"
"2012-07-01 00:00:00","ruby","2021"
"2012-07-01 00:00:00","swift","8"
"2012-08-01 00:00:00","assembly","180"
"2012-08-01 00:00:00","c","2250"
"2012-08-01 00:00:00","c#","11705"
"2012-08-01 00:00:00","c++","5021"
"2012-08-01 00:00:00","delphi","398"
"2012-08-01 00:00:00","go","71"
"2012-08-01 00:00:00","java","11989"
"2012-08-01 00:00:00","javascript","12043"
"2012-08-01 00:00:00","perl","754"
"2012-08-01 00:00:00","php","11548"
"2012-08-01 00:00:00","python","5738"
"2012-08-01 00:00:00","r","1061"
"2012-08-01 00:00:00","ruby","2025"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","216"
"2012-09-01 00:00:00","c","2458"
"2012-09-01 00:00:00","c#","10997"
"2012-09-01 00:00:00","c++","4751"
"2012-09-01 00:00:00","delphi","377"
"2012-09-01 00:00:00","go","123"
"2012-09-01 00:00:00","java","11370"
"2012-09-01 00:00:00","javascript","10857"
"2012-09-01 00:00:00","perl","656"
"2012-09-01 00:00:00","php","10649"
"2012-09-01 00:00:00","python","5145"
"2012-09-01 00:00:00","r","1043"
"2012-09-01 00:00:00","ruby","1912"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","308"
"2012-10-01 00:00:00","c","3069"
"2012-10-01 00:00:00","c#","12399"
"2012-10-01 00:00:00","c++","5777"
"2012-10-01 00:00:00","delphi","469"
"2012-10-01 00:00:00","go","97"
"2012-10-01 00:00:00","java","13143"
"2012-10-01 00:00:00","javascript","12070"
"2012-10-01 00:00:00","perl","668"
"2012-10-01 00:00:00","php","11446"
"2012-10-01 00:00:00","python","5990"
"2012-10-01 00:00:00","r","1256"
"2012-10-01 00:00:00","ruby","2217"
